Close Price,High Price,Low Price,Open Price,Date
425.42,428.71,424.3,426.54,2013-07-16
431.11,432.11,428.34,429.58,2013-07-17
432.79,434.84,432.41,433.46,2013-07-18
427.79,433.93,427.5,433.1,2013-07-19
426.88,429.73,425.56,429.46,2013-07-22
422.27,426.63,421.62,426.47,2013-07-23
437.08,440.44,435.36,439.07,2013-07-24
437.555,441.27,436.45,440.67,2013-07-25
439.45,439.45,434.49,435.47,2013-07-26
448.04,448.77,440.2,440.61,2013-07-29
452.2,452.79,449.33,449.96,2013-07-30
454.82,457.3,454.5,454.9,2013-07-31
454.51,456.78,453.28,455.415,2013-08-01
457.83,459.5,456.69,457.95,2013-08-02
466.25,466.35,462.16,464.87,2013-08-05
470.44,471.87,468.01,468.01,2013-08-06
465.11,466.93,463.085,463.77,2013-08-07
460.17,464.03,460.17,463.95,2013-08-08
458.03,460.37,457.91,458.99,2013-08-09
463.11,463.22,456.88,456.88,2013-08-12
468.68,474.29,468.3,471.05,2013-08-13
496.9,499.93,493.4,497.7,2013-08-14
496.78,499.77,493.84,496.42,2013-08-15
501.22,501.7,498.87,500.16,2013-08-16
509.24,509.69,504.03,504.43,2013-08-19
504.935,510.49,504.4,509.45,2013-08-20
505.97,507.11,502.76,503.15,2013-08-21
502,505.48,500.95,504.995,2013-08-22
500.23,502.92,499.43,502.92,2013-08-23
503.92,505.78,500.71,500.71,2013-08-26
500.86,510.2,497.25,497.93,2013-08-27
491.33,493.75,486.02,486.02,2013-08-28
495.51,496.5,491.96,491.96,2013-08-29
489.32,492.85,488.92,492.01,2013-08-30
496.15,496.83,492.45,492.9,2013-09-03
498.65,502.21,497.41,499.56,2013-09-04
497.41,500.63,496.83,500.51,2013-09-05
490.71,498.88,489.98,498.44,2013-09-06
504.33,507.16,503.5,504.845,2013-09-09
502.48,506.33,500.89,506.29,2013-09-10
471,473.67,464.83,467.22,2013-09-11
469.62,470.91,466.04,468.66,2013-09-12
467.79,471.82,467.29,469.67,2013-09-13
455.66,461.44,453.91,461.01,2013-09-16
453.76,455.39,447.7,447.87,2013-09-17
463.75,464.56,461.37,463.18,2013-09-18
473.8,474.02,469.36,470.7,2013-09-19
474.42,478.53,469.36,478,2013-09-20
485.68,496.9,485.6,496.2,2013-09-23
490.97,495.45,490.23,494.67,2013-09-24
482.5,489.64,481.54,489.45,2013-09-25
487.67,488.18,484.55,486,2013-09-26
482,484.635,481.57,483.64,2013-09-27
478.27,479.65,474.47,476.76,2013-09-30
480.73,481.54,478.39,478.51,2013-10-01
485.14,486.83,483.76,485.67,2013-10-02
487.67,492.25,486.72,490.49,2013-10-03
480.27,484.59,478.63,483.395,2013-10-04
490.57,491.44,485.37,486.56,2013-10-07
489.51,490.13,487.15,489.51,2013-10-08
483.11,484.71,481.05,484.49,2013-10-09
488.39,491.43,487.3,491.18,2013-10-10
488.19,488.67,485.35,487.26,2013-10-11
496.51,497.25,489.35,489.55,2013-10-14
498.24,498.74,495.58,497.805,2013-10-15
500.2,502.53,499.29,500.71,2013-10-16
502.77,503.4,499.69,499.985,2013-10-17
507.94,508,505.83,506.07,2013-10-18
520.72,521.27,511.76,511.76,2013-10-21
525.07,528.39,522.67,526.86,2013-10-22
521.05,525,519.06,519.18,2013-10-23
524.61,526,522.51,524.96,2013-10-24
532.31,533.23,529.63,531.29,2013-10-25
525.96,530.35,523.26,529.24,2013-10-28
524.74,539.18,524.74,536.27,2013-10-29
521.93,524.37,517.06,519.32,2013-10-30
522.18,525.36,521.3,524.725,2013-10-31
523.08,524.76,522.04,524.245,2013-11-01
520.07,522.84,518.91,521.35,2013-11-04
525.47,528.77,524.59,524.6,2013-11-05
523.04,524.805,521.52,524.47,2013-11-06
520.39,523.15,519.22,520.03,2013-11-07
514.59,515.63,512.67,514.14,2013-11-08
517.59,521.615,516.78,519.96,2013-11-11
521.8,522.385,517.34,517.35,2013-11-12
519.58,520.36,516.98,518.04,2013-11-13
525.03,525.25,521.94,522.81,2013-11-14
528.17,528.38,525.72,526.6,2013-11-15
522.41,527.16,522.095,524.99,2013-11-18
523.04,523.26,518.49,519.05,2013-11-19
517.86,520.37,517.33,519.16,2013-11-20
517.2,518.84,516.31,517.64,2013-11-21
521.44,521.84,518.55,519.63,2013-11-22
524.5,525.09,521.02,521.05,2013-11-25
526.67,527.84,524,524.24,2013-11-26
541.76,543.04,536.26,536.6,2013-11-27
549.61,550.41,547.9,549.56,2013-11-29
557.57,564.3,554.51,558.2,2013-12-02
560.15,563.4,557.805,557.83,2013-12-03
562.94,565.99,560.83,565.37,2013-12-04
571.44,575.11,569.85,572.67,2013-12-05
565.42,566.72,563.93,565.855,2013-12-06
564.1,565.96,560.96,560.96,2013-12-09
561.98,564.55,561.32,563.59,2013-12-10
567.48,570.91,566.91,567,2013-12-11
562.57,564.19,560.87,562.62,2013-12-12
560.38,562.75,560.15,562.575,2013-12-13
561.39,561.9,555.57,555.58,2013-12-16
555.47,559.42,554.9,555.83,2013-12-17
547.9,550.83,546.99,549.62,2013-12-18
546.23,549.98,546.07,549.44,2013-12-19
548.34,548.46,545.03,545.49,2013-12-20
563.31,568.18,562.85,568,2013-12-23
571.59,571.86,569.33,569.94,2013-12-24
563.5,569.46,563.48,568.04,2013-12-26
563.1,564.38,561.8,563.76,2013-12-27
555.63,558,555.15,557.45,2013-12-30
557.22,558.35,554.02,554.365,2013-12-31
555.075,557,554.12,555.61,2014-01-02
549.09,553.68,548.68,552.86,2014-01-03
536.09,538.48,533.71,537.28,2014-01-06
541.17,544.28,540.53,544.28,2014-01-07
541.68,542.38,538.79,538.95,2014-01-08
545.73,546.84,545.17,546.8,2014-01-09
533.96,540.78,533.83,539.05,2014-01-10
539.07,539.67,530,530,2014-01-13
539.74,540.94,538.01,538.22,2014-01-14
556.56,557.35,551.66,553.665,2014-01-15
553.21,556.765,552.96,555.03,2014-01-16
550.13,556.765,547.61,551.31,2014-01-17
546.765,548.03,540.44,540.99,2014-01-21
551.44,552.51,548.03,550.85,2014-01-22
549.86,551.83,548.13,549.78,2014-01-23
550.72,555.49,550.62,553.95,2014-01-24
552.96,554.73,550.26,550.26,2014-01-27
506.73,511.24,502.13,508.8,2014-01-28
503.38,514.99,502.13,503.95,2014-01-29
502.52,506.5,501.19,502.435,2014-01-30
